Time,PlayerID,GSF,StrategyMode,MySoldiers,EnemySoldiers
2.55,1,0.00,Economic,0,0.00
2.62,1,0.00,Economic,0,0.00
2.69,1,0.00,Economic,0,0.00
2.76,1,0.00,Economic,0,0.00
2.82,1,0.00,Economic,0,0.00
2.89,1,0.00,Economic,0,0.00
2.95,1,0.00,Economic,0,0.00
3.01,1,0.00,Economic,0,0.00
3.08,1,0.00,Economic,0,0.00
3.15,1,0.00,Economic,0,0.00
3.22,1,0.00,Economic,0,0.00
3.29,1,0.00,Economic,0,0.00
3.35,1,0.00,Economic,0,0.00
3.40,1,0.00,Economic,0,0.00
3.45,1,0.00,Economic,0,0.00
3.51,1,0.00,Economic,0,0.00
3.56,1,0.49,Economic,0,0.00
3.62,1,1.00,Economic,0,0.00
3.68,1,1.50,Economic,0,0.00
3.75,1,2.08,Economic,0,0.00
3.81,1,2.65,Economic,0,0.00
3.87,1,-6.82,Defensive,0,1.00
3.92,1,-6.30,Defensive,0,1.00
3.97,1,-5.80,Defensive,0,1.00
4.02,1,-15.27,Defensive,0,2.00
4.08,1,-14.75,Defensive,0,2.00
4.15,1,-14.22,Defensive,0,2.00
4.22,1,36.29,Economic,0,2.00
4.28,1,36.83,Economic,0,2.00
4.33,1,27.38,Economic,0,3.00
4.38,1,27.91,Economic,0,3.00
4.43,1,10.00,Economic,0,4.00
4.48,1,10.00,Economic,0,4.00
4.52,1,0.00,Economic,0,5.00
4.57,1,-5.00,Defensive,0,5.50
4.61,1,-5.00,Defensive,0,5.50
4.65,1,-15.00,Defensive,0,6.50
4.70,1,-15.00,Defensive,0,6.50
4.74,1,-20.00,Defensive,0,7.00
4.78,1,-35.00,Defensive,0,8.50
4.82,1,-70.00,Defensive,0,12.00
4.86,1,-70.00,Defensive,0,12.00
4.89,1,-85.00,Defensive,0,13.50
4.93,1,-86.00,Defensive,0,13.50
4.98,1,-102.00,Defensive,0,15.00
5.02,1,47.00,Economic,0,15.00
5.06,1,44.00,Economic,0,15.00
5.11,1,40.00,Economic,0,15.00
5.15,1,36.00,Economic,0,15.00
5.19,1,32.00,Economic,0,15.00
5.23,1,27.00,Economic,0,15.00
0.01,1,-1000.00,Defensive,0,0.00
0.01,1,-1000.00,Defensive,0,0.00
0.04,1,-1000.00,Defensive,0,0.00
0.09,1,-1000.00,Defensive,0,0.00
0.14,1,-1000.00,Defensive,0,0.00
0.19,1,-1000.00,Defensive,0,0.00
0.24,1,-1000.00,Defensive,0,0.00
0.29,1,-1000.00,Defensive,0,0.00
0.33,1,-1000.00,Defensive,0,0.00
0.38,1,-1000.00,Defensive,0,0.00
0.43,1,-1000.00,Defensive,0,0.00
0.48,1,-1000.00,Defensive,0,0.00
0.53,1,-900.00,Defensive,0,0.00
0.58,1,-850.00,Defensive,0,0.00
0.64,1,-850.00,Defensive,0,0.00
0.69,1,-850.00,Defensive,0,0.00
0.74,1,-850.00,Defensive,0,0.00
0.79,1,-850.00,Defensive,0,0.00
0.85,1,-850.00,Defensive,0,0.00
0.91,1,-850.00,Defensive,0,0.00
0.96,1,-850.00,Defensive,0,0.00
1.02,1,-850.00,Defensive,0,0.00
1.08,1,-850.00,Defensive,0,0.00
1.13,1,-850.00,Defensive,0,0.00
1.18,1,150.00,Aggressive,0,0.00
1.22,1,150.00,Aggressive,0,0.00
1.26,1,150.00,Aggressive,0,0.00
1.33,1,250.00,Aggressive,0,0.00
1.39,1,250.00,Aggressive,0,0.00
1.45,1,350.00,Aggressive,0,0.00
1.51,1,350.00,Aggressive,0,0.00
1.57,1,350.00,Aggressive,0,0.00
1.64,1,350.00,Aggressive,0,0.00
1.71,1,350.00,Aggressive,0,0.00
1.77,1,350.00,Aggressive,0,0.00
1.82,1,350.00,Aggressive,0,0.00
1.88,1,350.00,Aggressive,0,0.00
1.94,1,350.00,Aggressive,0,0.00
2.00,1,350.00,Aggressive,0,0.00
2.06,1,350.00,Aggressive,0,0.00
2.12,1,350.00,Aggressive,0,0.00
2.19,1,350.00,Aggressive,0,0.00
2.26,1,350.00,Aggressive,0,0.00
2.32,1,350.00,Aggressive,0,0.00
2.39,1,350.00,Aggressive,0,0.00
2.44,1,350.00,Aggressive,0,0.00
2.50,1,350.00,Aggressive,0,0.00
2.56,1,350.00,Aggressive,0,0.00
2.62,1,350.00,Aggressive,0,0.00
2.69,1,350.00,Aggressive,0,0.00
2.74,1,350.00,Aggressive,0,0.00
2.81,1,350.00,Aggressive,0,0.00
2.87,1,350.00,Aggressive,0,0.00
2.93,1,350.00,Aggressive,0,0.00
2.98,1,350.00,Aggressive,0,0.00
3.03,1,350.00,Aggressive,0,0.00
3.09,1,350.00,Aggressive,0,0.00
3.15,1,350.52,Aggressive,0,0.00
3.21,1,351.03,Aggressive,0,0.00
3.28,1,351.57,Aggressive,0,0.00
3.33,1,352.10,Aggressive,0,0.00
3.40,1,352.62,Aggressive,0,0.00
3.46,1,353.14,Aggressive,0,0.00
3.52,1,353.65,Aggressive,0,0.00
3.56,1,354.15,Aggressive,0,0.00
3.61,1,354.67,Aggressive,0,0.00
3.67,1,355.22,Aggressive,0,0.00
3.73,1,355.73,Aggressive,0,0.00
3.79,1,356.25,Aggressive,0,0.00
3.85,1,356.81,Aggressive,0,0.00
3.91,1,357.32,Aggressive,0,0.00
3.98,1,357.87,Aggressive,0,0.00
4.03,1,358.40,Aggressive,0,0.00
4.08,1,348.91,Aggressive,0,1.00
4.13,1,349.41,Aggressive,0,1.00
4.19,1,349.93,Aggressive,0,1.00
4.24,1,340.45,Aggressive,0,2.00
4.31,1,340.98,Aggressive,0,2.00
4.36,1,341.49,Aggressive,0,2.00
