Opponent,Win,Duration,Workers,Soldiers,Towers,Wood,Stone,Meat
EliteCommander,False,53.01,2,0,2,90,10,30
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
EliteCommander,False,0.01,0,0,0,0,0,0
